Utterance_ID,Num_Phones,EER(%),EER_Threshold_GOP
000030012,21,42.11,-0.854
000030024,11,50.0,-0.988
000030040,11,30.0,-1.157
000030047,12,10.0,-1.654
000030049,10,NA,NA
000030051,14,10.0,-1.037
000030054,11,70.0,-0.85
000030059,15,50.0,-0.765
000030067,17,46.67,-1.747
000030069,15,7.14,-1.315
000030079,19,5.56,-3.891
000030080,15,7.14,-1.729
000030097,13,57.14,-0.68
000030101,14,7.69,-1.805
000030116,22,80.0,-0.751
000030119,22,45.0,-1.099
000030145,15,NA,NA
000030153,9,57.14,-1.117
000030154,12,100.0,-0.572
000030175,4,0.0,-1.476
000240010,13,83.33,-0.622
000240031,25,NA,NA
000240060,24,80.95,-0.345
000240071,32,46.67,-1.31
000240073,42,56.41,-1.255
000240099,33,26.67,-1.562
000240115,14,53.85,-1.304
000240116,24,NA,NA
000240151,22,23.81,-1.433
000240152,25,33.33,-1.389
000240248,22,NA,NA
000240284,23,80.95,-0.761
000240287,12,80.0,-0.583
000240289,27,48.0,-1.463
000240320,31,3.33,-2.925
000240323,24,26.09,-1.22
000240324,20,50.0,-1.351
000240329,22,20.0,-1.936
000240350,23,78.95,-0.485
000240352,20,52.63,-1.067
000440005,12,60.0,-0.608
000440021,24,46.15,-0.891
000440032,12,10.0,-1.384
000440035,13,22.22,-0.911
000440043,14,38.46,-1.037
000440045,8,16.67,-0.973
000440049,12,88.89,-0.699
000440062,14,44.44,-1.325
000440082,14,62.5,-1.203
000440089,14,46.15,-1.194
000440090,9,66.67,-0.702
000440099,23,72.22,-0.805
000440104,17,25.0,-1.083
000440126,14,66.67,-0.614
000440132,13,70.0,-0.951
000440145,19,38.46,-1.092
000440147,19,38.46,-0.873
000440163,13,9.09,-1.629
000440173,10,75.0,-0.713
000440175,6,33.33,-1.013
000490002,10,NA,NA
000490017,14,44.44,-0.904
000490032,8,NA,NA
000490047,10,100.0,-0.301
000490052,11,0.0,-1.677
000490086,13,60.0,-0.787
000490087,13,37.5,-0.653
000490088,10,37.5,-0.805
000490092,13,80.0,-0.988
000490097,17,54.55,-0.888
000490101,13,50.0,-1.223
000490102,18,17.65,-1.993
000490117,16,84.62,-1.004
000490134,14,41.67,-0.983
000490144,18,13.33,-1.026
000490151,17,81.25,-0.554
000490157,7,100.0,-0.869
000490162,13,16.67,-1.428
000490164,8,NA,NA
000490175,16,NA,NA
000920002,11,80.0,-0.648
000920009,9,66.67,-0.896
000920010,11,22.22,-1.017
000920025,13,41.67,-1.084
000920040,13,100.0,-0.19
000920051,10,22.22,-1.289
000920055,15,76.92,-0.894
000920074,14,50.0,-1.025
000920092,20,35.29,-1.481
000920094,17,31.25,-1.514
000920099,19,81.25,-0.814
000920104,14,50.0,-0.885
000920122,14,69.23,-0.866
000920126,16,71.43,-0.647
000920129,19,64.29,-0.813
000920134,11,70.0,-0.735
000920136,17,13.33,-1.683
000920149,20,53.85,-0.848
000920167,12,70.0,-0.919
000920173,8,57.14,-1.171
000930005,11,20.0,-1.185
000930014,14,92.31,-0.311
000930018,17,76.92,-0.75
000930026,11,NA,NA
000930035,11,50.0,-0.491
000930040,10,37.5,-0.925
000930048,13,30.0,-1.081
000930050,13,NA,NA
000930051,11,50.0,-1.349
000930056,12,36.36,-1.202
